Snapshot Date,TTT,LOS,Hotel Name,Price,Rating,Reviews,Neighborhood,Breakfast,Free Cancellation,Rooms Left,Check-in,Check-out
2025-03-14,0,2,Courtyard New York Manhattan/ Midtown East,596,Excellent,"2,243",New York,No,No,5,2025-03-14,2025-03-16
2025-03-14,0,2,"The Time New York, part of JdV by Hyatt",531,Very,"1,002",Theater District,No,No,3,2025-03-14,2025-03-16
2025-03-14,0,2,"PUBLIC, an Ian Schrager hotel",973,Reserve,"2,809",New York,No,No,N/A,2025-03-14,2025-03-16
2025-03-14,0,3,Moxy NYC Chelsea,794,Reserve,"1,003",Chelsea,No,No,3,2025-03-14,2025-03-17
2025-03-14,0,3,"The Time New York, part of JdV by Hyatt",725,Very,"1,002",Theater District,No,No,2,2025-03-14,2025-03-17
2025-03-14,0,3,"PUBLIC, an Ian Schrager hotel",1281,Reserve,"2,809",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Doubletree by Hilton New York Times Square South,720,Reserve,"4,090",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Four Points By Sheraton New York Downtown,505,Reserve,"1,987",New York,No,No,2,2025-03-14,2025-03-17
2025-03-14,0,3,DoubleTree by Hilton Hotel New York City - Chelsea,622,Reserve,"1,561",Chelsea,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,The New Yorker A Wyndham Hotel,631,Reserve,"5,212",New York,No,No,8,2025-03-14,2025-03-17
2025-03-14,0,3,Moxy NYC Lower East Side,1008,Reserve,"1,466",New York,No,No,4,2025-03-14,2025-03-17
2025-03-14,0,3,Element New York Times Square West,587,Reserve,"2,315",New York,Yes,No,3,2025-03-14,2025-03-17
2025-03-14,0,3,SpringHill Suites by Marriott New York Manhattan/Times Square South,764,Reserve,"1,229",New York,Yes,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Park Terrace Hotel,947,Reserve,"1,533",Central New York City,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,"All-season rooftop, free breakfast for 2",N/A,N/A,N/A,N/A,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Hampton Inn Manhattan/Times Square Central,707,Reserve,"1,923",Theater District,Yes,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Virgin Hotels New York City,899,Reserve,"2,331",New York,No,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,"Club Quarters Hotel, Grand Central",776,Reserve,"2,335",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Fairfield Inn by Marriott New York Manhattan/Fifth Avenue,583,Very,"1,005",New York,Yes,No,5,2025-03-14,2025-03-17
2025-03-14,0,3,Fairfield Inn & Suites New York Manhattan/Times Square South,848,Reserve,"1,316",New York,Yes,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Hotel Stanford,766,Excellent,"1,070",New York,Yes,No,6,2025-03-14,2025-03-17
2025-03-14,0,3,Virgin Hotels New York City,899,Reserve,"2,331",New York,No,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,Courtyard New York Manhattan/ Midtown East,854,Excellent,"2,243",New York,No,No,5,2025-03-14,2025-03-17
2025-03-14,0,3,Pod Times Square,640,Reserve,"4,320",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,SpringHill Suites by Marriott New York Manhattan/Chelsea,656,Reserve,877,Chelsea,Yes,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Delta Hotels by Marriott New York Times Square,598,Reserve,692,New York,No,No,5,2025-03-14,2025-03-17
2025-03-14,0,3,City Club Hotel,559,Good,"1,459",Central New York City,Yes,No,85,2025-03-14,2025-03-17
2025-03-14,0,3,Residence Inn by Marriott New York Manhattan/Midtown East,782,Reserve,"1,001",New York,Yes,No,5,2025-03-14,2025-03-17
2025-03-14,0,3,The Belvedere Hotel,707,Very,"3,550",New York,No,No,146,2025-03-14,2025-03-17
2025-03-14,0,3,Hyatt Place New York / Chelsea,785,Reserve,"2,263",Chelsea,Yes,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,Hotel Boutique at Grand Central,776,Reserve,"1,200",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Hilton New York Times Square,804,Very,"1,490",Theater District,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Millennium Premier New York Times Square,928,Reserve,"1,004",Theater District,Yes,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Doubletree by Hilton New York Times Square South,720,Reserve,"4,090",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Hotel 1200,762,Reserve,36,Brooklyn,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Holiday Inn Express - New York City Chelsea by IHG,726,Reserve,"1,380",Chelsea,Yes,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,citizenM New York Bowery,822,Wonderful,"1,358",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Truss Hotel Times Square,700,Reserve,"2,386",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Courtyard by Marriott New York Downtown Manhattan/Financial District,584,Very,"1,002",New York,No,No,5,2025-03-14,2025-03-17
2025-03-14,0,3,Courtyard by Marriott New York Manhattan/Times Square,807,Reserve,"1,005",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Hilton Garden Inn New York Times Square South,781,Reserve,"4,013",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Hilton Garden Inn New York/Midtown Park Ave,722,Reserve,"1,025",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Hilton Garden Inn New York/Manhattan-Chelsea,885,Reserve,"2,654",Chelsea,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,"Club Quarters, Times Square - Midtown",899,Reserve,"2,777",Central New York City,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Aloft New York Chelsea,671,Reserve,616,Chelsea,No,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,Courtyard New York Manhattan/Times Square West,845,Reserve,"1,443",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,AC Hotel by Marriott New York Times Square,753,Reserve,"1,001",New York,No,No,4,2025-03-14,2025-03-17
2025-03-14,0,3,Moxy NYC Chelsea,794,Reserve,"1,003",Chelsea,No,No,3,2025-03-14,2025-03-17
2025-03-14,0,3,"The Cloud One New York-Downtown, by the Motel One Group",707,Excellent,"1,002",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Millennium Downtown New York,704,Reserve,"2,282",New York,No,No,88,2025-03-14,2025-03-17
2025-03-14,0,3,Westgate New York Grand Central,841,Excellent,"2,532",New York,No,No,69,2025-03-14,2025-03-17
2025-03-14,0,3,Holiday Inn New York City - Times Square by IHG,740,Reserve,"2,047",New York,No,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,Kimpton Hotel Eventi by IHG,996,Reserve,"1,006",Chelsea,No,No,2,2025-03-14,2025-03-17
2025-03-14,0,3,The Standard High Line,1113,Excellent,"1,476",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Kimpton Theta New York - Times Square by IHG,942,Reserve,870,Theater District,No,No,7,2025-03-14,2025-03-17
2025-03-14,0,3,World Center Hotel,854,Reserve,"2,299",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Motto By Hilton New York City Times Square,822,Reserve,"2,279",Theater District,No,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,Courtyard by Marriott New York World Trade Center Area,661,Reserve,817,New York,No,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,Hilton Garden Inn New York/Central Park South-Midtown West,912,Reserve,"1,748",Theater District,No,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,La Quinta Inn & Suites by Wyndham Times Square South,697,Reserve,"1,002",New York,Yes,No,2,2025-03-14,2025-03-17
2025-03-14,0,3,Hotel Edison Times Square,760,Reserve,"4,507",Theater District,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Moxy NYC Times Square,971,Reserve,"2,349",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Hilton Garden Inn New York/Central Park South-Midtown West,912,Reserve,"1,748",Theater District,No,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,Hilton Garden Inn New York/West 35th Street,826,Wonderful,"2,454",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Hampton Inn Madison Square Garden Area Hotel,752,Reserve,"1,122",Chelsea,Yes,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,Wingate by Wyndham New York Midtown South/5th Ave,739,Reserve,"1,001",New York,Yes,No,2,2025-03-14,2025-03-17
2025-03-14,0,3,Holiday Inn Manhattan 6th Ave - Chelsea by IHG,627,Reserve,"1,005",Chelsea,No,No,5,2025-03-14,2025-03-17
2025-03-14,0,3,"Club Quarters Hotel, World Trade Center",854,Fully,"1,594",New York,No,Yes,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,719,Reserve,341,New York,Yes,No,1,2025-03-14,2025-03-17
2025-03-14,0,3,Hampton Inn Manhattan-Chelsea,683,Reserve,"1,354",Chelsea,Yes,No,4,2025-03-14,2025-03-17
2025-03-14,0,3,Sheraton New York Times Square Hotel,938,Reserve,"3,259",Theater District,No,No,4,2025-03-14,2025-03-17
2025-03-14,0,3,Embassy Suites by Hilton New York Manhattan Times Square,872,Reserve,"2,060",New York,Yes,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Warwick New York,931,Wonderful,"1,473",Central New York City,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Arlo Midtown,868,Wonderful,"5,426",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Hampton Inn Manhattan/Times Square South,720,Reserve,"1,532",New York,Yes,No,3,2025-03-14,2025-03-17
2025-03-14,0,3,Courtyard by Marriott New York Manhattan/Midtown West,914,Reserve,"1,002",New York,No,No,5,2025-03-14,2025-03-17
2025-03-14,0,3,Four Points By Sheraton Manhattan Midtown West,825,Reserve,"1,001",New York,No,No,N/A,2025-03-14,2025-03-17
2025-03-14,0,3,Radio City Apartments,818,Excellent,"4,150",Theater District,No,No,2,2025-03-14,2025-03-17
2025-03-14,0,3,Hampton Inn Manhattan Grand Central,810,Reserve,"1,158",New York,Yes,No,6,2025-03-14,2025-03-17
2025-03-14,0,3,Holiday Inn Express Manhattan Times Square South by IHG,845,Reserve,"1,303",New York,Yes,No,4,2025-03-14,2025-03-17
2025-03-14,0,3,Untitled at 3 Freeman Alley,856,Wonderful,471,New York,Yes,No,N/A,2025-03-14,2025-03-17
