hotel_name,star_rating,rating_score,location_score,review_amount,price,breakfast_included,free_cancellation,no_prepayment_needed,centrally_located,sustainability_certification,checkin,checkout,snapshot,group_index,bed_score,distance_score,hotel_name_encoded,ttt,los
17John,5.0,9.0,9.4,232.0,1527,0,0,0,1,0,2025-03-16,2025-03-20,2025-03-12,97,0.0,5,2,6,4
17John,5.0,9.0,9.4,232.0,696,0,0,0,1,0,2025-03-19,2025-03-21,2025-03-10,18,0.0,5,2,9,2
17John,5.0,9.0,9.4,234.0,1477,0,0,0,0,0,2025-03-19,2025-03-23,2025-03-17,97,0.0,1,2,9,4
17John,5.0,9.0,9.4,232.0,1126,0,1,0,1,0,2025-03-30,2025-04-03,2025-03-12,24,0.0,5,2,20,4
17John,5.0,9.0,9.4,232.0,1505,0,1,0,1,0,2025-04-02,2025-04-07,2025-03-12,4,0.0,5,2,23,5
45 Times Square Hotel,3.0,8.3,9.6,3123.0,1710,0,1,0,1,0,2025-03-12,2025-03-17,2025-03-10,85,3.0,5,6,2,5
45 Times Square Hotel,3.0,8.3,9.6,3125.0,438,0,1,0,0,0,2025-04-04,2025-04-05,2025-03-10,96,3.0,1,6,25,1
AC Hotel by Marriott New York Downtown,4.0,8.4,,1609.0,767,0,0,1,1,0,2025-03-12,2025-03-15,2025-03-12,91,4.0,5,9,2,3
AC Hotel by Marriott New York Downtown,4.0,8.4,,1609.0,1046,0,0,1,1,0,2025-03-12,2025-03-16,2025-03-12,99,4.0,5,9,2,4
AC Hotel by Marriott New York Downtown,4.0,8.4,,1609.0,1221,0,0,1,1,0,2025-03-12,2025-03-17,2025-03-12,90,4.0,5,9,2,5
AC Hotel by Marriott New York Downtown,4.0,8.4,,1609.0,471,0,0,0,1,0,2025-03-20,2025-03-22,2025-03-12,15,4.0,5,9,10,2
AC Hotel by Marriott New York Downtown,4.0,8.4,,1609.0,158,0,0,0,1,0,2025-03-23,2025-03-24,2025-03-12,5,4.0,5,9,13,1
AC Hotel by Marriott New York Downtown,4.0,8.4,,1609.0,262,0,0,0,1,0,2025-03-24,2025-03-25,2025-03-12,11,2.0,5,9,14,1
AC Hotel by Marriott New York Downtown,4.0,8.4,,1609.0,241,0,0,0,1,0,2025-03-27,2025-03-28,2025-03-12,15,2.0,5,9,17,1
AC Hotel by Marriott New York Downtown,4.0,8.4,,1606.0,690,0,0,0,1,0,2025-03-27,2025-03-30,2025-03-17,20,4.0,5,9,17,3
AC Hotel by Marriott New York Downtown,4.0,8.4,,1609.0,168,0,0,0,1,0,2025-03-30,2025-03-31,2025-03-12,17,2.0,5,9,20,1
AC Hotel by Marriott New York Downtown,4.0,8.4,,1608.0,1553,0,0,0,1,0,2025-03-30,2025-04-04,2025-03-10,12,2.0,5,9,20,5
AC Hotel by Marriott New York Downtown,4.0,8.4,,1604.0,188,0,0,0,1,0,2025-04-06,2025-04-07,2025-03-17,21,4.0,5,9,27,1
Ace Hotel New York,4.0,7.6,9.3,1787.0,409,0,1,1,0,0,2025-03-12,2025-03-13,2025-03-10,100,1.0,3,13,2,1
Ace Hotel New York,4.0,7.6,,1787.0,1688,0,1,1,1,0,2025-03-15,2025-03-19,2025-03-12,95,2.0,5,13,5,4
Ace Hotel New York,4.0,7.6,,1785.0,822,0,0,0,1,0,2025-03-17,2025-03-19,2025-03-17,24,2.0,5,13,7,2
Ace Hotel New York,4.0,7.6,,1785.0,1399,0,0,1,0,0,2025-03-17,2025-03-20,2025-03-17,46,1.0,3,13,7,3
Ace Hotel New York,4.0,7.6,,1785.0,1785,0,0,1,1,0,2025-03-17,2025-03-21,2025-03-17,49,1.0,5,13,7,4
Ace Hotel New York,4.0,7.6,,1785.0,1815,0,0,1,1,0,2025-03-17,2025-03-22,2025-03-17,46,1.0,5,13,7,5
Ace Hotel New York,4.0,7.6,,1785.0,617,0,0,1,0,0,2025-03-18,2025-03-19,2025-03-17,52,1.0,3,13,8,1
Ace Hotel New York,4.0,7.6,,1785.0,1170,0,0,1,0,0,2025-03-18,2025-03-20,2025-03-17,53,2.0,3,13,8,2
Ace Hotel New York,4.0,7.6,,1785.0,1565,0,0,1,0,0,2025-03-18,2025-03-21,2025-03-17,52,1.0,3,13,8,3
Ace Hotel New York,4.0,7.6,,1785.0,1710,0,0,1,0,0,2025-03-18,2025-03-22,2025-03-17,49,2.0,3,13,8,4
Ace Hotel New York,4.0,7.6,,1785.0,606,0,1,1,1,0,2025-03-19,2025-03-20,2025-03-17,97,1.0,5,13,9,1
