hotel_name,star_rating,rating_score,location_score,review_amount,bed_info,price,breakfast_included,free_cancellation,no_prepayment_needed,centrally_located,sustainability_certification,distance_from_downtown,checkin,checkout,snapshot,group_index
Roxy Hotel New York,4.0,8.6,9.3,1145.0,1 king bed,"₪ 1,450",False,False,False,True,False,5.8 km from downtown,2025-03-10,2025-03-11,2025-03-10,1
Riu Plaza Manhattan Times Square,4.0,8.7,9.6,13232.0,1 king bed,"₪ 1,001",False,False,True,True,True,,2025-03-10,2025-03-11,2025-03-10,2
UNTITLED at 3 Freeman Alley,4.0,8.5,,592.0,1 queen bed,₪ 883,False,False,False,True,False,5.2 km from downtown,2025-03-10,2025-03-11,2025-03-10,3
Aura Hotel Times Square Newly Renovated,4.0,7.7,9.4,507.0,1 full bed,₪ 942,False,False,False,True,False,,2025-03-10,2025-03-11,2025-03-10,4
Sonder at One Platt,4.0,8.2,,1908.0,,₪ 802,False,False,False,True,False,7 km from downtown,2025-03-10,2025-03-11,2025-03-10,5
"33 Hotel, New York City, Seaport",5.0,8.8,9.3,678.0,1 king bed,"₪ 1,458",False,False,False,False,False,6.9 km from downtown,2025-03-10,2025-03-11,2025-03-10,6
Tempo By Hilton New York Times Square,4.0,8.6,9.5,883.0,1 king bed,₪ 987,False,False,True,True,False,,2025-03-10,2025-03-11,2025-03-10,7
NH Collection New York Madison Avenue,4.0,8.5,9.5,1944.0,Beds: 1 double or 2 twins,"₪ 1,575",False,False,False,True,True,2 km from downtown,2025-03-10,2025-03-11,2025-03-10,8
Hotel 57 by LuxUrban,4.0,7.0,,5145.0,1 full bed,₪ 823,False,False,False,True,False,,2025-03-10,2025-03-11,2025-03-10,9
"The New Yorker, A Wyndham Hotel",4.0,7.7,9.4,15580.0,1 queen bed,₪ 640,False,False,False,True,False,,2025-03-10,2025-03-11,2025-03-10,10
Moxy NYC East Village,4.0,8.3,,1819.0,1 queen bed,"₪ 1,174",False,False,True,True,False,4.1 km from downtown,2025-03-10,2025-03-11,2025-03-10,11
Arlo Midtown,4.0,8.6,,6103.0,2 full beds,"₪ 1,183",False,False,False,True,False,,2025-03-10,2025-03-11,2025-03-10,12
Residence Inn by Marriott New York Manhattan/Times Square,4.0,8.1,9.7,7022.0,"2 beds (1 sofa bed, 1 queen)","₪ 1,265",False,False,True,True,False,,2025-03-10,2025-03-11,2025-03-10,13
SpringHill Suites by Marriott New York Manhattan Chelsea,4.0,8.4,9.5,11129.0,,₪ 883,False,False,False,True,False,2.5 km from downtown,2025-03-10,2025-03-11,2025-03-10,14
Holiday Inn Express - Times Square South by IHG,3.0,8.2,9.5,2907.0,1 king bed,₪ 841,False,False,True,True,False,2 km from downtown,2025-03-10,2025-03-11,2025-03-10,15
Hyatt House New York/Chelsea,3.0,8.5,9.5,1800.0,,"₪ 1,436",False,False,True,True,False,2.5 km from downtown,2025-03-10,2025-03-11,2025-03-10,16
Fairfield Inn by Marriott New York Manhattan/Financial District,3.0,7.8,,3651.0,1 king bed,₪ 550,False,False,True,True,False,7.2 km from downtown,2025-03-10,2025-03-11,2025-03-10,17
The Chelsean New York,3.0,7.0,,2897.0,1 king bed,₪ 467,False,False,False,True,False,2.8 km from downtown,2025-03-10,2025-03-11,2025-03-10,18
citizenM New York Times Square,4.0,8.7,9.6,3982.0,1 king bed,"₪ 1,416",False,False,True,True,True,,2025-03-10,2025-03-11,2025-03-10,19
Element Times Square West,4.0,8.0,,7648.0,1 king bed,₪ 653,False,False,True,True,False,,2025-03-10,2025-03-11,2025-03-10,20
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,4.0,8.4,,7018.0,1 king bed,₪ 758,False,False,True,True,False,,2025-03-10,2025-03-11,2025-03-10,21
Hyatt Centric Times Square New York,4.0,8.4,9.5,1405.0,1 king bed,"₪ 1,703",False,False,True,True,True,,2025-03-10,2025-03-11,2025-03-10,22
LUMA Hotel - Times Square,4.0,8.9,9.7,4191.0,1 king bed,"₪ 1,283",False,False,True,True,False,,2025-03-10,2025-03-11,2025-03-10,23
Home2 Suites By Hilton New York Times Square,3.0,7.8,9.5,1281.0,1 queen bed,"₪ 1,265",False,False,True,True,False,,2025-03-10,2025-03-11,2025-03-10,24
Homewood Suites Midtown Manhattan Times Square South,3.0,8.3,,4419.0,2 queen beds,"₪ 1,223",False,False,True,True,True,,2025-03-10,2025-03-11,2025-03-10,25
New York Marriott Marquis,5.0,8.3,9.5,3067.0,2 full beds,"₪ 2,882",False,False,True,True,False,,2025-03-10,2025-03-11,2025-03-10,26
The Blakely by LuxUrban,,7.4,9.4,6067.0,1 queen bed,₪ 944,False,False,False,True,False,,2025-03-10,2025-03-11,2025-03-10,27
Renaissance New York Times Square by Marriott,4.0,8.4,9.6,2177.0,2 full beds,"₪ 1,634",False,False,True,True,False,,2025-03-10,2025-03-11,2025-03-10,28
The Belvedere Hotel,3.0,7.9,9.4,5885.0,2 full beds,₪ 682,False,False,False,True,False,,2025-03-10,2025-03-11,2025-03-10,29
Omni Berkshire Place,4.0,8.6,9.6,1704.0,1 king bed,"₪ 2,174",False,False,False,True,False,,2025-03-10,2025-03-11,2025-03-10,30
Holiday Inn Express - Times Square by IHG,3.0,6.9,,2222.0,1 king bed,₪ 779,False,False,True,True,False,,2025-03-10,2025-03-11,2025-03-10,31
Candlewood Suites NYC -Times Square by IHG,3.0,8.1,,2065.0,,₪ 828,False,False,True,True,False,,2025-03-10,2025-03-11,2025-03-10,32
