Hotel Name,TTT,LOS,price_expedia,hotel_name,ttt,los,price_booking,price_difference,abs_price_difference
17John,6,4,1083.0,17John,6,4,1527,-444.0,444.0
17John,9,2,514.0,17John,9,2,696,-182.0,182.0
17John,9,4,1046.0,17John,9,4,1477,-431.0,431.0
17John,20,4,1265.0,17John,20,4,1126,139.0,139.0
17John,23,5,1575.0,17John,23,5,1505,70.0,70.0
45 Times Square Hotel,2,5,1748.0,45 Times Square Hotel,2,5,1710,38.0,38.0
45 Times Square Hotel,25,1,325.0,45 Times Square Hotel,25,1,438,-113.0,113.0
AC Hotel by Marriott New York Downtown,2,3,759.0,AC Hotel by Marriott New York Downtown,2,3,767,-8.0,8.0
AC Hotel by Marriott New York Downtown,2,4,927.0,AC Hotel by Marriott New York Downtown,2,4,1046,-119.0,119.0
AC Hotel by Marriott New York Downtown,2,5,1194.0,AC Hotel by Marriott New York Downtown,2,5,1221,-27.0,27.0
AC Hotel by Marriott New York Downtown,10,2,480.0,AC Hotel by Marriott New York Downtown,10,2,471,9.0,9.0
AC Hotel by Marriott New York Downtown,13,1,209.0,AC Hotel by Marriott New York Downtown,13,1,158,51.0,51.0
AC Hotel by Marriott New York Downtown,14,1,230.0,AC Hotel by Marriott New York Downtown,14,1,262,-32.0,32.0
AC Hotel by Marriott New York Downtown,17,1,292.0,AC Hotel by Marriott New York Downtown,17,1,241,51.0,51.0
AC Hotel by Marriott New York Downtown,17,3,802.0,AC Hotel by Marriott New York Downtown,17,3,690,112.0,112.0
AC Hotel by Marriott New York Downtown,20,1,323.0,AC Hotel by Marriott New York Downtown,20,1,168,155.0,155.0
AC Hotel by Marriott New York Downtown,20,5,1375.0,AC Hotel by Marriott New York Downtown,20,5,1553,-178.0,178.0
AC Hotel by Marriott New York Downtown,27,1,343.0,AC Hotel by Marriott New York Downtown,27,1,188,155.0,155.0
Ace Hotel New York,2,1,530.0,Ace Hotel New York,2,1,409,121.0,121.0
Ace Hotel New York,5,4,1078.0,Ace Hotel New York,5,4,1688,-610.0,610.0
Ace Hotel New York,7,2,427.0,Ace Hotel New York,7,2,822,-395.0,395.0
Ace Hotel New York,7,3,723.0,Ace Hotel New York,7,3,1399,-676.0,676.0
Ace Hotel New York,7,4,1078.0,Ace Hotel New York,7,4,1785,-707.0,707.0
Ace Hotel New York,7,5,1345.0,Ace Hotel New York,7,5,1815,-470.0,470.0
Ace Hotel New York,8,1,248.0,Ace Hotel New York,8,1,617,-369.0,369.0
Ace Hotel New York,8,2,544.0,Ace Hotel New York,8,2,1170,-626.0,626.0
Ace Hotel New York,8,3,783.0,Ace Hotel New York,8,3,1565,-782.0,782.0
Ace Hotel New York,8,4,1092.0,Ace Hotel New York,8,4,1710,-618.0,618.0
Ace Hotel New York,9,1,296.0,Ace Hotel New York,9,1,606,-310.0,310.0
Ace Hotel New York,9,2,427.0,Ace Hotel New York,9,2,896,-469.0,469.0
Ace Hotel New York,12,4,1000.0,Ace Hotel New York,12,4,1150,-150.0,150.0
Ace Hotel New York,12,5,1257.0,Ace Hotel New York,12,5,3635,-2378.0,2378.0
Ace Hotel New York,14,1,199.0,Ace Hotel New York,14,1,285,-86.0,86.0
Ace Hotel New York,14,5,1286.0,Ace Hotel New York,14,5,1458,-172.0,172.0
Ace Hotel New York,15,5,1442.0,Ace Hotel New York,15,5,1313,129.0,129.0
