hotel_name,star_rating,rating_score,location_score,review_amount,bed_info,price,breakfast_included,free_cancellation,no_prepayment_needed,centrally_located,sustainability_certification,distance_from_downtown,checkin,checkout
Roxy Hotel New York,4,8.6,9.3,1144,2 full beds,"₪ 9,148",False,True,True,True,False,5.8 km from downtown,16 March 2025,21 March 2025
UNTITLED at 3 Freeman Alley,4,8.5,,595,1 queen bed,"₪ 5,625",False,False,False,True,False,5.2 km from downtown,16 March 2025,21 March 2025
Aura Hotel Times Square Newly Renovated,4,7.7,9.4,514,1 queen bed,"₪ 5,419",False,True,False,True,False,1.3 km from downtown,16 March 2025,21 March 2025
Sonder at One Platt,4,8.2,,1918,N/A,"₪ 5,076",False,True,False,True,False,7 km from downtown,16 March 2025,21 March 2025
"33 Hotel, New York City, Seaport",5,8.8,9.3,679,2 queen beds,"₪ 17,067",False,True,False,False,False,6.9 km from downtown,16 March 2025,21 March 2025
Tempo By Hilton New York Times Square,4,8.6,9.4,885,1 king bed,"₪ 8,894",False,False,True,True,False,1 km from downtown,16 March 2025,21 March 2025
NH Collection New York Madison Avenue,4,8.5,9.5,1943,Beds: 1 double or 2 twins,"₪ 8,438",False,False,False,True,True,2 km from downtown,16 March 2025,21 March 2025
"The New Yorker, A Wyndham Hotel",4,7.7,9.4,15584,1 queen bed,"₪ 5,184",False,True,False,True,False,2 km from downtown,16 March 2025,21 March 2025
Pod Times Square,3,8.3,9.4,23137,2 twin beds,"₪ 4,857",False,True,True,True,False,1.4 km from downtown,16 March 2025,21 March 2025
Arlo Midtown,4,8.6,,6106,1 king bed,"₪ 8,562",False,True,False,True,False,1.7 km from downtown,16 March 2025,21 March 2025
Residence Inn by Marriott New York Manhattan/Times Square,4,8.1,9.7,7027,2 full beds,"₪ 12,031",False,True,True,True,False,1.7 km from downtown,16 March 2025,21 March 2025
SpringHill Suites by Marriott New York Manhattan Chelsea,4,8.4,9.5,11130,N/A,"₪ 7,291",False,True,False,True,False,2.5 km from downtown,16 March 2025,21 March 2025
Holiday Inn Express - Times Square South by IHG,3,8.2,9.5,2907,1 king bed,"₪ 6,496",False,False,False,True,False,2 km from downtown,16 March 2025,21 March 2025
Hyatt House New York/Chelsea,3,8.5,9.5,1803,N/A,"₪ 10,249",False,True,True,True,False,2.5 km from downtown,16 March 2025,21 March 2025
Fairfield Inn by Marriott New York Manhattan/Financial District,3,7.8,,3652,1 king bed,"₪ 5,381",False,True,True,True,False,7.2 km from downtown,16 March 2025,21 March 2025
The Chelsean New York,3,7.0,,2903,2 queen beds,"₪ 4,534",False,True,False,True,False,2.8 km from downtown,16 March 2025,21 March 2025
citizenM New York Times Square,4,8.7,9.6,3982,1 king bed,"₪ 7,704",False,True,True,True,True,0.8 km from downtown,16 March 2025,21 March 2025
Element Times Square West,4,8.0,,7663,N/A,"₪ 6,737",False,True,True,True,False,1.6 km from downtown,16 March 2025,21 March 2025
Hyatt Centric Times Square New York,4,8.4,9.5,1406,1 king bed,"₪ 10,875",False,True,True,True,True,1.2 km from downtown,16 March 2025,21 March 2025
LUMA Hotel - Times Square,4,9.0,9.7,4191,"2 beds (1 king, 1 sofa bed)","₪ 8,494",False,True,True,True,False,1.5 km from downtown,16 March 2025,21 March 2025
Home2 Suites By Hilton New York Times Square,3,7.8,9.5,1284,1 queen bed,"₪ 6,785",False,False,True,True,False,1 km from downtown,16 March 2025,21 March 2025
