Snapshot Date,Checkin Date,Discount Code,DayDiff,WeekDay,Hotel_Encoded_Name
0,0,2,1,6,223
0,0,2,1,6,264
0,0,2,1,6,327
0,0,2,1,6,341
0,0,1,1,6,361
0,0,2,1,6,370
0,1,4,2,7,168
0,1,4,2,7,198
0,1,2,2,7,200
0,1,1,2,7,223
0,1,3,2,7,341
0,2,3,3,1,77
0,2,4,3,1,111
0,2,3,3,1,168
0,2,2,3,1,198
0,2,3,3,1,223
0,2,3,3,1,327
0,2,3,3,1,374
0,3,3,4,2,111
0,3,3,4,2,196
0,3,3,4,2,198
0,3,2,4,2,223
0,3,2,4,2,327
0,3,2,4,2,341
0,3,4,4,2,370
0,4,4,5,3,110
0,4,2,5,3,111
0,4,2,5,3,154
0,4,2,5,3,189
0,4,2,5,3,196
0,4,1,5,3,197
0,4,1,5,3,199
0,4,2,5,3,223
0,4,3,5,3,301
0,4,1,5,3,327
0,4,2,5,3,341
0,4,2,5,3,395
0,4,2,5,3,408
0,4,4,5,3,478
0,4,3,5,3,482
0,5,4,6,4,110
0,5,1,6,4,111
0,5,4,6,4,113
0,5,3,6,4,177
0,5,3,6,4,199
0,5,1,6,4,220
0,5,1,6,4,222
0,5,1,6,4,270
0,5,2,6,4,290
0,5,1,6,4,301
0,5,2,6,4,326
0,5,4,6,4,327
0,5,3,6,4,341
0,5,2,6,4,363
0,5,4,6,4,374
0,5,1,6,4,395
0,5,3,6,4,397
0,5,3,6,4,528
0,5,1,6,4,529
0,6,3,7,5,16
0,6,3,7,5,110
0,6,3,7,5,113
0,6,3,7,5,169
0,6,3,7,5,172
0,6,1,7,5,223
0,6,2,7,5,259
0,6,1,7,5,327
0,6,2,7,5,341
0,6,1,7,5,363
0,6,2,7,5,528
0,7,2,8,6,16
0,7,1,8,6,63
0,7,1,8,6,79
0,7,2,8,6,113
0,7,2,8,6,169
0,7,2,8,6,173
0,7,2,8,6,190
0,7,1,8,6,193
0,7,3,8,6,224
0,7,1,8,6,259
0,7,2,8,6,270
0,7,4,8,6,321
0,7,2,8,6,341
0,7,2,8,6,397
0,7,2,8,6,482
0,7,3,8,6,510
0,7,1,8,6,528
0,8,4,9,7,16
0,8,4,9,7,79
0,8,1,9,7,110
0,8,1,9,7,127
0,8,2,9,7,161
0,8,1,9,7,171
0,8,1,9,7,172
0,8,3,9,7,173
0,8,1,9,7,175
0,8,1,9,7,200
0,8,2,9,7,299
0,8,1,9,7,334
0,8,2,9,7,341
0,8,2,9,7,397
0,8,2,9,7,510
0,9,3,10,1,16
0,9,3,10,1,25
0,9,4,10,1,79
0,9,3,10,1,161
0,9,3,10,1,166
0,9,4,10,1,171
0,9,2,10,1,173
0,9,3,10,1,175
0,9,3,10,1,239
0,9,3,10,1,327
0,9,4,10,1,334
0,9,2,10,1,341
0,9,3,10,1,527
0,9,4,10,1,528
0,10,2,11,2,16
0,10,3,11,2,25
0,10,4,11,2,63
0,10,2,11,2,93
0,10,2,11,2,161
0,10,2,11,2,223
0,10,1,11,2,239
0,10,3,11,2,290
0,10,4,11,2,304
0,10,2,11,2,327
0,10,2,11,2,341
0,10,2,11,2,528
0,10,3,11,2,529
0,11,2,12,3,25
0,11,3,12,3,63
0,11,1,12,3,141
0,11,1,12,3,161
0,11,1,12,3,169
0,11,2,12,3,180
0,11,1,12,3,192
0,11,1,12,3,223
0,11,2,12,3,272
0,11,3,12,3,285
0,11,2,12,3,290
0,11,2,12,3,301
0,11,1,12,3,327
0,11,2,12,3,341
0,11,1,12,3,374
0,11,3,12,3,482
0,11,2,12,3,510
0,11,2,12,3,528
0,11,2,12,3,529
0,11,3,12,3,530
0,12,3,13,4,17
0,12,3,13,4,25
0,12,1,13,4,71
0,12,3,13,4,93
0,12,2,13,4,109
0,12,1,13,4,110
0,12,1,13,4,111
0,12,4,13,4,141
0,12,4,13,4,169
0,12,4,13,4,173
0,12,4,13,4,174
0,12,2,13,4,192
0,12,3,13,4,196
0,12,1,13,4,285
0,12,1,13,4,290
0,12,2,13,4,304
0,12,4,13,4,325
0,12,4,13,4,327
0,12,2,13,4,363
0,12,3,13,4,398
0,12,2,13,4,471
0,12,3,13,4,528
0,13,2,14,5,25
0,13,1,14,5,109
0,13,2,14,5,154
0,13,3,14,5,169
0,13,3,14,5,173
0,13,4,14,5,195
0,13,2,14,5,301
0,13,1,14,5,304
0,13,3,14,5,325
0,13,3,14,5,334
0,13,3,14,5,341
0,13,1,14,5,359
0,13,1,14,5,363
0,13,2,14,5,471
0,13,3,14,5,491
0,13,1,14,5,519
0,13,3,14,5,528
0,13,2,14,5,530
0,14,2,15,6,16
0,14,1,15,6,25
0,14,2,15,6,112
0,14,2,15,6,154
0,14,3,15,6,161
0,14,3,15,6,169
0,14,4,15,6,198
0,14,2,15,6,259
0,14,3,15,6,334
0,14,3,15,6,341
0,14,2,15,6,405
0,14,2,15,6,528
0,15,1,16,7,16
0,15,4,16,7,110
0,15,1,16,7,112
0,15,4,16,7,154
0,15,4,16,7,161
0,15,1,16,7,169
0,15,1,16,7,171
0,15,2,16,7,173
0,15,1,16,7,180
0,15,1,16,7,194
0,15,1,16,7,195
0,15,3,16,7,334
0,15,2,16,7,341
0,15,1,16,7,528
0,16,4,17,1,16
0,16,4,17,1,111
0,16,4,17,1,112
0,16,3,17,1,154
0,16,2,17,1,161
0,16,4,17,1,166
0,16,4,17,1,168
0,16,3,17,1,169
0,16,3,17,1,174
0,16,2,17,1,334
0,16,3,17,1,341
0,16,3,17,1,374
0,16,3,17,1,530
0,17,3,18,2,16
0,17,3,18,2,17
0,17,2,18,2,93
0,17,4,18,2,109
0,17,3,18,2,111
0,17,2,18,2,141
0,17,2,18,2,161
0,17,3,18,2,168
0,17,2,18,2,169
0,17,2,18,2,174
0,17,3,18,2,175
0,17,2,18,2,191
0,17,1,18,2,285
0,17,3,18,2,290
0,17,2,18,2,334
