Hotel Name,Snapshot Date,Discount Code,Count
Park Hyatt New York,2015-07-22,3,44
Park Hyatt New York,2015-07-22,2,43
The New York EDITION,2015-07-27,2,30
The New York EDITION,2015-07-29,3,30
The New York EDITION,2015-07-29,2,30
The New York EDITION,2015-07-27,3,30
Newark Liberty International Airport Marriott,2015-07-23,3,30
Park Hyatt New York,2015-07-22,1,30
Newark Liberty International Airport Marriott,2015-07-22,3,30
The New York EDITION,2015-07-28,3,29
The New York EDITION,2015-07-28,2,29
The New York EDITION,2015-07-25,2,29
The New York EDITION,2015-07-26,3,28
The New York EDITION,2015-07-26,2,28
The New York EDITION,2015-07-25,3,28
The Carlyle A Rosewood Hotel,2015-12-20,4,26
Newark Liberty International Airport Marriott,2015-07-23,2,26
Park Hyatt New York,2015-07-22,4,26
Newark Liberty International Airport Marriott,2015-07-22,2,26
The Carlyle A Rosewood Hotel,2015-12-18,4,25
The Carlyle A Rosewood Hotel,2016-01-01,3,25
The Carlyle A Rosewood Hotel,2015-12-31,3,25
The Carlyle A Rosewood Hotel,2015-12-31,2,25
The Carlyle A Rosewood Hotel,2015-12-30,2,25
The Carlyle A Rosewood Hotel,2016-01-01,2,25
The Carlyle A Rosewood Hotel,2015-12-19,4,25
The Carlyle A Rosewood Hotel,2015-12-20,3,25
The Carlyle A Rosewood Hotel,2016-01-01,4,24
Park Hyatt New York,2015-07-23,3,24
Park Hyatt New York,2015-07-23,2,24
The Carlyle A Rosewood Hotel,2015-12-20,2,24
The Carlyle A Rosewood Hotel,2015-12-17,4,24
The Carlyle A Rosewood Hotel,2015-12-30,3,24
Wyndham Garden Brooklyn Sunset Park,2015-10-28,3,24
The Carlyle A Rosewood Hotel,2016-01-01,1,23
The Carlyle A Rosewood Hotel,2015-12-20,1,23
The Carlyle A Rosewood Hotel,2015-12-30,4,23
The Carlyle A Rosewood Hotel,2015-12-27,2,23
The Carlyle A Rosewood Hotel,2015-12-27,4,23
Wyndham Garden Brooklyn Sunset Park,2015-10-25,3,23
The Carlyle A Rosewood Hotel,2015-12-16,4,23
Wyndham Garden Brooklyn Sunset Park,2015-10-26,2,23
The Carlyle A Rosewood Hotel,2015-12-21,4,23
The Carlyle A Rosewood Hotel,2015-12-19,3,23
The Carlyle A Rosewood Hotel,2015-12-17,3,23
Wyndham Garden Brooklyn Sunset Park,2015-10-26,3,23
Wyndham Garden Brooklyn Sunset Park,2015-10-28,2,23
The Carlyle A Rosewood Hotel,2015-12-18,3,23
The Carlyle A Rosewood Hotel,2015-12-19,1,23
The Carlyle A Rosewood Hotel,2015-12-19,2,23
The Carlyle A Rosewood Hotel,2015-12-31,4,23
Wyndham Garden Brooklyn Sunset Park,2015-10-25,2,22
The Carlyle A Rosewood Hotel,2015-12-14,4,22
Wyndham Garden Brooklyn Sunset Park,2015-10-30,3,22
Viceroy New York,2015-12-30,3,22
The Carlyle A Rosewood Hotel,2015-12-27,3,22
Viceroy New York,2015-12-29,4,22
The Carlyle A Rosewood Hotel,2015-12-16,3,22
Park Hyatt New York,2015-07-19,2,22
The Carlyle A Rosewood Hotel,2015-12-18,2,22
The Carlyle A Rosewood Hotel,2015-12-18,1,22
The Carlyle A Rosewood Hotel,2015-12-17,2,22
The Carlyle A Rosewood Hotel,2015-12-30,1,22
Park Hyatt New York,2015-07-18,2,22
The Carlyle A Rosewood Hotel,2015-12-25,4,22
The Carlyle A Rosewood Hotel,2015-12-15,4,22
Park Hyatt New York,2015-07-20,2,22
The Carlyle A Rosewood Hotel,2015-12-26,2,22
Wyndham Garden Brooklyn Sunset Park,2015-10-29,3,21
Wyndham Garden Brooklyn Sunset Park,2015-10-30,2,21
The Carlyle A Rosewood Hotel,2015-12-27,1,21
The Carlyle A Rosewood Hotel,2015-12-22,4,21
Wyndham Garden Brooklyn Sunset Park,2015-10-29,2,21
Wyndham Garden Brooklyn Sunset Park,2015-10-31,3,21
The Carlyle A Rosewood Hotel,2015-12-26,3,21
Park Hyatt New York,2015-07-18,3,21
The Carlyle A Rosewood Hotel,2015-12-21,2,21
The Carlyle A Rosewood Hotel,2015-12-21,1,21
Park Hyatt New York,2015-07-17,2,21
Westin New York at Times Square,2015-10-21,2,21
The Carlyle A Rosewood Hotel,2015-12-14,3,21
The Carlyle A Rosewood Hotel,2015-12-25,2,21
The Carlyle A Rosewood Hotel,2015-12-31,1,21
Park Hyatt New York,2015-07-20,3,21
The Carlyle A Rosewood Hotel,2015-12-15,3,21
The Carlyle A Rosewood Hotel,2015-12-16,2,21
The Carlyle A Rosewood Hotel,2015-12-17,1,21
Viceroy New York,2015-12-29,2,21
Wyndham Garden Brooklyn Sunset Park,2015-10-31,2,21
The Carlyle A Rosewood Hotel,2015-12-25,1,20
Viceroy New York,2015-12-30,4,20
Viceroy New York,2015-12-29,3,20
The Carlyle A Rosewood Hotel,2015-12-13,4,20
The Carlyle A Rosewood Hotel,2015-12-26,4,20
Magnuson Convention Center Hotel,2015-07-27,3,20
Magnuson Convention Center Hotel,2015-08-10,3,20
The Carlyle A Rosewood Hotel,2015-12-16,1,20
The Carlyle A Rosewood Hotel,2015-12-15,2,20
Wyndham Garden Brooklyn Sunset Park,2015-10-18,2,20
